"","X","iconic_taxon_name","scientific_name","n"
"1",18,"Other Animalia","Argis alaskensis",1
"2",32,"Other Animalia","Hypogastrura litoralis",1
"3",37,"Other Animalia","Monocoryne colonialis",1
"4",40,"Other Animalia","Placobdella desseri",1
"5",45,"Other Animalia","Squatinella leydigii",1
"6",49,"Other Animalia","Xenylla welchi",1
"7",60,"Arachnida","Iviella newfoundlandensis",1
"8",62,"Arachnida","Metopobactrus pacificus",1
"9",63,"Arachnida","Pachygnatha xanthostoma",1
"10",66,"Arachnida","Rhombognathides seahami",1
"11",67,"Arachnida","Thalassarachna capuzina",1
"12",90,"Chromista","Mallomonas pseudocoronata",1
"13",91,"Chromista","Omnivora mutabilis",1
"14",99,"Chromista","Pseudokephyrion undulitissimum",1
"15",103,"Chromista","Trigonium quinquelobatum",1
"16",113,"Fungi","Chalarodendron fuscum",1
"18",116,"Fungi","Corniculariella populi",1
"19",117,"Fungi","Dactylaria candidula",1
"20",118,"Fungi","Dactylellina candidum",1
"22",123,"Fungi","Endophragmiella oblonga",1
"23",141,"Fungi","Hyalocamposporium acutum",1
"24",143,"Fungi","Hymenoscyphus vasaensis",1
"25",147,"Fungi","Merismodes monacha",1
"26",152,"Fungi","Myxospora masonii",1
"27",158,"Fungi","Orbilia ellipsospora",1
"28",159,"Fungi","Paragaeumannomyces elegans",1
"29",160,"Fungi","Paragaeumannomyces longisporus",1
"30",171,"Fungi","Pseudoclathrosphaerina evamariae",1
"32",181,"Fungi","Sporoschisma hemipsilum",1
"33",188,"Fungi","Triadelphia corticola",1
"34",196,"Insecta","Agonum crenistriatum",1
"35",198,"Insecta","Agrilus osburni",1
"36",208,"Insecta","Aradus intectus",1
"37",214,"Insecta","Atimia hoppingi",1
"38",215,"Insecta","Attalus morulus",1
"39",216,"Insecta","Auletobius congruus",1
"40",220,"Insecta","Bembidion hesperium",1
"41",224,"Insecta","Brychius hornii",1
"42",226,"Insecta","Bryophacis canadensis",1
"43",227,"Insecta","Cacopsylla nordica",1
"44",230,"Insecta","Caloreas canadensis",1
"45",237,"Insecta","Chionodes halycopa",1
"46",238,"Insecta","Chlaenius interruptus",1
"47",240,"Insecta","Cicadula straminea",1
"48",241,"Insecta","Cixidia brittoni",1
"49",257,"Insecta","Cyrtopogon varans",1
"50",264,"Insecta","Dolichopeza obscura",1
"51",267,"Insecta","Dryope melanderi",1
"52",270,"Insecta","Elathous californicus",1
"53",271,"Insecta","Elatophilus brimleyi",1
"54",279,"Insecta","Eucyrtopogon comantis",1
"55",282,"Insecta","Euura lucidae",1
"56",285,"Insecta","Flexamia delongi",1
"57",287,"Insecta","Formica spatulata",1
"59",295,"Insecta","Gnypeta brevicornis",1
"60",301,"Insecta","Harpalus fulvilabris",1
"61",312,"Insecta","Ilybius verisimilis",1
"62",318,"Insecta","Lasiopogon yukonensis",1
"63",319,"Insecta","Lemellus bimaculatus",1
"65",322,"Insecta","Lionepha erasa",1
"66",331,"Insecta","Macrotylus sexguttatus",1
"67",336,"Insecta","Melanotus testaceus",1
"68",340,"Insecta","Mesorhaga flavipes",1
"70",343,"Insecta","Neobisnius senilis",1
"71",347,"Insecta","Newsteadia americana",1
"72",352,"Insecta","Osmia tersula",1
"73",362,"Insecta","Philonthus gracilior",1
"74",367,"Insecta","Pissonotus niger",1
"75",369,"Insecta","Platynus indecentis",1
"76",372,"Insecta","Prosternon fallax",1
"77",373,"Insecta","Proteinus pseudothomasi",1
"78",390,"Insecta","Scathophaga obscurinervis",1
"79",391,"Insecta","Scellus exustus",1
"80",392,"Insecta","Scoliocentra maculipennis",1
"81",399,"Insecta","Stenolophus limbalis",1
"82",404,"Insecta","Tachysphex semirufus",1
"83",408,"Insecta","Thamiaraea corverae",1
"84",421,"Insecta","Wroughtonia occidentalis",1
"85",424,"Insecta","Xylechinus americanus",1
"86",456,"Plantae","Campylium polygamum",1
"87",508,"Plantae","Radiofilum mesomorphum",1
"88",509,"Plantae","Radula prolifera",1
"89",527,"Protozoa","Centropyxis ecornis",1
"91",533,"Protozoa","Difflugia acutissima",1
"92",540,"Protozoa","Symphytocarpus macrosporus",1
"17",115,"Fungi","Coccomyces arbutifolius",2
"21",120,"Fungi","Dasyscyphus castaneus",2
"31",172,"Fungi","Pseudolasiobolus minutissimus",2
"64",321,"Insecta","Limotettix urnura",2
"69",342,"Insecta","Myelaphus lobicornis",2
"90",530,"Protozoa","Cucurbitella vlasinensis",2
"58",289,"Insecta","Formicoxenus provancheri",4
