,usageKey,acceptedUsageKey,scientificName,canonicalName,verbatim_name,rank,status,confidence,matchType,kingdom,phylum,class,order,family,genus,species,kingdomKey,phylumKey,classKey,orderKey,familyKey,genusKey,speciesKey,synonym,verbatim_index
1430,5290149,NA,Phragmites australis (Cav.) Trin. ex Steud.,Phragmites australis,Phragmites australis,SPECIES,ACCEPTED,97,EXACT,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Phragmites,Phragmites australis,6,7707728,196,1369,3073,2705783,5290149,FALSE,1430
1431,2702808,NA,Echinochloa crus-galli (L.) P.Beauv.,Echinochloa crus-galli,Echinochloa crus-galli,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Echinochloa,Echinochloa crus-galli,6,7707728,196,1369,3073,2702794,2702808,FALSE,1431
225,2360481,NA,"Semotilus atromaculatus (Mitchill, 1818)",Semotilus atromaculatus,Semotilus atromaculatus,SPECIES,ACCEPTED,99,EXACT,Animalia,Chordata,NA,Cypriniformes,Cyprinidae,Semotilus,Semotilus atromaculatus,1,44,NA,1153,7336,2349566,2360481,FALSE,225
1433,2442885,5220530,"Emydoidea blandingii (Holbrook, 1838)",Emydoidea blandingii,Emydoidea blandingii,SPECIES,SYNONYM,98,EXACT,Animalia,Chordata,Testudines,NA,Emydidae,Emys,Emys blandingii,1,44,11418114,NA,5465,2441657,5220530,TRUE,1433
215,2360492,NA,"Semotilus corporalis (Mitchill, 1817)",Semotilus corporalis,Semotilus corporalis,SPECIES,ACCEPTED,99,EXACT,Animalia,Chordata,NA,Cypriniformes,Cyprinidae,Semotilus,Semotilus corporalis,1,44,NA,1153,7336,2349566,2360492,FALSE,215
239,2410897,NA,"Spirinchus thaleichthys (Ayres, 1860)",Spirinchus thaleichthys,Spirinchus thaleichthys,SPECIES,ACCEPTED,99,EXACT,Animalia,Chordata,NA,Osmeriformes,Osmeridae,Spirinchus,Spirinchus thaleichthys,1,44,NA,1068,8480,2410894,2410897,FALSE,239
1420,2351351,NA,"Stenodus nelma (Pallas, 1773)",Stenodus nelma,Stenodus nelma,SPECIES,ACCEPTED,99,EXACT,Animalia,Chordata,NA,Salmoniformes,Salmonidae,Stenodus,Stenodus nelma,1,44,NA,1313,8615,2351342,2351351,FALSE,1420
1437,5301175,NA,Potamogeton alpinus Balb.,Potamogeton alpinus,Potamogeton alpinus,SPECIES,ACCEPTED,98,EXACT,Plantae,Tracheophyta,Liliopsida,Alismatales,Potamogetonaceae,Potamogeton,Potamogeton alpinus,6,7707728,196,551,6721,2756560,5301175,FALSE,1437
1438,7924597,NA,Equisetum arvense L.,Equisetum arvense,Equisetum arvense,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Polypodiopsida,Equisetales,Equisetaceae,Equisetum,Equisetum arvense,6,7707728,7228684,954,3105,2687913,7924597,FALSE,1438
1439,5220393,NA,"Sternotherus odoratus (Latreille, 1802)",Sternotherus odoratus,Sternotherus odoratus,SPECIES,ACCEPTED,99,EXACT,Animalia,Chordata,Testudines,NA,Kinosternidae,Sternotherus,Sternotherus odoratus,1,44,11418114,NA,5466,2442302,5220393,FALSE,1439
