"summary" "n_cells" "perc"
"1" "inat100p" 5486 19.3216637903709
"2" "inat90p" 7129 25.10830134188
"3" "inat75p" 10386 36.5794385940197
"4" "inat50p" 15772 55.5489028986018
"5" "inatunder50p" 12621 44.4510971013982
